,req,label,v6,Unnamed: 3,v5.2,dominio,ano,titulo,link,slide,obs,obs v6
34,Aircraft enters an unsafe atmospheric region.,hazard,hazard,,hazard1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,,
35,Aircraft enters uncontrolled state.,hazard,hazard,,hazard1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,,
36,Aircraft enters unsafe attitude (excessive turbulence or pitch/roll/yaw that causes passenger injury but not necessarily aircraft loss).,hazard,hazard,,hazard1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,,
37,Aircraft enters a prohibited area.,hazard,hazard,,hazard1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,,
55,Two aircraft violate minimum separation.,hazard,hazard,,hazard1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,,
56,Aircraft enters unsafe atmospheric region.,hazard,hazard,,hazard1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,,
57,Aircraft enters uncontrolled state.,hazard,hazard,,hazard1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,,
58,Aircraft enters unsafe attitude.,hazard,hazard,,hazard1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,,
59,Aircraft enters prohibited area.,hazard,hazard,,hazard1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17,,
66,HTV is drifting to ISS while uncontrolled (deactivated).,hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
67,HTV provides unintended attitude control in proximity to SSRMS.,hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
68,HTV is inclined by a large angle in proximity to SSRMS.,hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
69,"HTV cannot be separated immediately when grappled unsafely (e.g., windmill).",hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
70,HTV provides thrust while captured by SSRMS.,hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
71,FRGF is unintendedly separated from HTV before or during capture.,hazard,hazard,,hazard1,aerospace,2012, Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7,,
73,Violating a minimum of separation between vehicles and between vehicles and objects.,hazard,hazard,,hazard2,aviation,2012,Experiences and Challenges in using STAMP for Accident  Analysis,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-8-Schaardenburg-Verhoeve-and-Smit-Experiences-and-Challenges-in-using-STAMP-for-Accident-Analysis.pdf,11,stamp,
77,Two trains are on the same “Occlusive Section” travelling at different speed.,hazard,hazard,,hazard1,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp,
83,"ACC slows down the vehicle too abruptly, and vehicle is rear-ended.",hazard,hazard,,hazard1,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6,,
89,ACC does not maintain a safe distance from the object in the front (resulting in a collision).,hazard,hazard,,hazard1,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,,
90,ACC slows down the vehicle too abruptly (and vehicle is rear-ended).,hazard,hazard,,hazard1,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,,
98,Two aircraft violate minimum separation.,hazard,hazard,,hazard1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
99,Aircraft enters unsafe atmospheric region.,hazard,hazard,,hazard1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
100,Aircraft enters uncontrolled state.,hazard,hazard,,hazard1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
101,Aircraft enters unsafe attitude.,hazard,hazard,,hazard1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
102,Aircraft enters prohibited area.,hazard,hazard,,hazard1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
106,Doors close on a person in the doorway.,hazard,hazard,,hazard6,train,2013,Extending and Automating STPA for Requirements Generation and Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Extending_Automating_STPA_Requirements_Generation_Analysis.pdf,10,sistema = door,
107,Doors open when the train is moving or not at platform.,hazard,hazard,,hazard6,train,2013,Extending and Automating STPA for Requirements Generation and Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Extending_Automating_STPA_Requirements_Generation_Analysis.pdf,10,sistema = door,
120,Reactor temperature too high.,hazard,hazard,,hazard1,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,,
121,Equipment operated beyond limits.,hazard,hazard,,hazard1,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,,
122,Reactor shut down.,hazard,hazard,,hazard1,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5,,
128,Reactor Exceeds Limits.,hazard,hazard,,hazard1,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,,
130,Equipment Operated Beyond Limits.,hazard,hazard,,hazard1,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,,
132,Reactor Shutdown.,hazard,hazard,,hazard1,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8,,
135,ACC violates the safe distance between ACC vehicle and vehicle in front.,hazard,hazard,,hazard1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7,,
136,ACC did not illuminate brake light to warn vehicle in the behind.,hazard,hazard,,hazard1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7,,
137,ACC does not reduce throttle and apply the braking force to maintain safe distance as preset by driver when vehicle catches up with a slower preceding vehicle.,hazard,hazard,,hazard1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7,,
138,ACC estimates wrong values of distance and speed of vehicle ahead.,hazard,hazard,,hazard1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7,,
147,Customer's data released to public.,hazard,hazard,,hazard5,software,2013,STAMP as a Theoretical Framework for Understanding Corporate Moral Failure,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Buck_Moral-Corporate_Failure.pdf,36,,
148,Customer's data misused by JID.,hazard,hazard,,hazard5,software,2013,STAMP as a Theoretical Framework for Understanding Corporate Moral Failure,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Buck_Moral-Corporate_Failure.pdf,36,,
149,Customer's data released to unauthorized 3rd parties.,hazard,hazard,,hazard5,software,2013,STAMP as a Theoretical Framework for Understanding Corporate Moral Failure,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Buck_Moral-Corporate_Failure.pdf,36,,
150,Customer's data misused by authorized 3rd parties.,hazard,hazard,,hazard5,software,2013,STAMP as a Theoretical Framework for Understanding Corporate Moral Failure,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Buck_Moral-Corporate_Failure.pdf,36,,
157,Navigation software with feta defects is integrated into navigation system.,hazard,hazard,,hazard2,aviation,2013,A Safety analysis of Navigation Software Development Management Based on STAMP,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_XuXiaojie-STAMP_Analysis_Navigation_Software_Development_Management.pdf,11,,
161,Loss of Aircraft Control.,hazard,hazard,ambiguo,exhazard,aviation,2013,The Use of STPA in Hazard Analysis and Certification of Integrated Modular Avionics Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Fleming_ITP_Talk.pdf,13,,
174,"Humans exposed to radiated energy or to toxic, radioactive, or energetic elements of mission hardware.",hazard,hazard,,hazard5,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,10,,
175,"Non-human, non-system (the satellite) elements exposed to radiated energy or to toxic, radioactive, or energetic elements of mission hardware.",hazard,hazard,,hazard5,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,10,,
176,"Satellite hardware exposed to excessive radiation, or caustic or energetic materials.",hazard,hazard,,hazard1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,10,,
177,Satellite enters unsafe environment or orbit/flight path.,hazard,hazard,,hazard1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,10,,
194,Inability of control for intended flight.,hazard,hazard,,hazard3,aviation,2013,A systematic safety control approach and practice on flight tests of a low-cost blended-wing-body demonstrator,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_LuYi_Presentation_2rd_STAMP_Workshop.pdf,16,"igual a ""loss of aircraft control""",
203,Engine remains stuck at high thrust during a rejected takeoff.,hazard,hazard,,hazard1,aviation,2014,Use of STPA on Rolls Royce Aircraft Engines,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/MIT-STAMP-STPA-Fletcher-Now-that-I-have-read-the-book-Issue-2b-Publication-Version.pdf,9,,
210,Vehicle does not maintain safe distance from nearby vehicles.,hazard,hazard,,hazard1,automotive,2014,Application of STPA to an Automotive Shift-by-Wire System,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/GM-MIT-Research-STPA-Study-Presentation-for-MIT-Workshop-Final-For-Publication.pdf,8,,
211,Vehicle does not maintain safe distance from terrain and other obstacles.,hazard,hazard,,hazard1,automotive,2014,Application of STPA to an Automotive Shift-by-Wire System,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/GM-MIT-Research-STPA-Study-Presentation-for-MIT-Workshop-Final-For-Publication.pdf,8,,
212,Vehicle enters uncontrollable or unrecoverable state.,hazard,hazard,,hazard1,automotive,2014,Application of STPA to an Automotive Shift-by-Wire System,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/GM-MIT-Research-STPA-Study-Presentation-for-MIT-Workshop-Final-For-Publication.pdf,8,,
225,"WRONG DOSE: Dose delivered to patient is wrong in either amount, location, or timing.",hazard,hazard,,hazard5,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,8,,
226,NON-PATIENT IS UNNECESSARILY EXPOSED TO RADIATION.,hazard,hazard,,hazard5,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,8,,
227,EQUIPMENT IS SUBJECT TO UNNECESSARY STRESS.,hazard,hazard,,hazard1,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,8,,
228,PERSONS ARE SUBJECTED TO THE POSSIBILITY OF NON-RADIOLOGICAL INJURY.,hazard,hazard,,hazard5,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,8,,
236,Toxic chemicals from the plant are in the atmosphere.,hazard,hazard,,hazard2,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
237,Nuclear power plant radioactive materials are not contained.,hazard,hazard,,hazard1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
240,Vehicles do not maintain safe distance from each other.,hazard,hazard,,hazard1,automotive,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
242,Food products for sale contain pathogens.,hazard,hazard,,hazard5,food,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
248,Patient tissues receive more dose than clinically desirable.,hazard,hazard,,hazard5,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13,,
249,Patient tumor receives less dose than clinically desirable.,hazard,hazard,,hazard5,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13,,
250,Non-patient (esp. personnel) is unnecessarily exposed to radiation.,hazard,hazard,,hazard5,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13,,
251,Equipment is subject to unnecessary stress.,hazard,hazard,,hazard1,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13,,
267,Vehicle does not maintain safe distance from nearby vehicles.,hazard,hazard,,hazard1,automotive,2015,Iterative Application of STPA for an Automotive System,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sundaram-Iterative-Application-for-GM.pdf,7,,
268,Vehicle does not maintain safe distance from terrain and other obstacles.,hazard,hazard,,hazard1,automotive,2015,Iterative Application of STPA for an Automotive System,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sundaram-Iterative-Application-for-GM.pdf,7,,
283,Vehicle does not maintain minimum separation against other moving bodies.,hazard,hazard,,hazard1,automotive,2015,Comparing STPA and FMEA on an Automotive Electric Power Steering System,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sotomayor-Comparing-STPA-and-FMEA.pdf,19,,
284,Vehicle does not maintain minimum separation against static bodies.,hazard,hazard,,hazard1,automotive,2015,Comparing STPA and FMEA on an Automotive Electric Power Steering System,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sotomayor-Comparing-STPA-and-FMEA.pdf,19,,
285,Vehicle is difficult to operate.,hazard,hazard,,hazard1,automotive,2015,Comparing STPA and FMEA on an Automotive Electric Power Steering System,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sotomayor-Comparing-STPA-and-FMEA.pdf,19,,
286,Vehicle equipment operated beyond limits (experience excessive wear and tear).,hazard,hazard,,hazard1,automotive,2015,Comparing STPA and FMEA on an Automotive Electric Power Steering System,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sotomayor-Comparing-STPA-and-FMEA.pdf,19,,
288,Commands for dosage exceeding the patient's tolerance are sent to the pump.,hazard,hazard,,hazard2,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25,,
289,Incorrect information is sent to the display.,hazard,hazard,,hazard2,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25,,
315,Unauthorized individuals accessing port system infrastructure.,hazard,hazard,,hazard2,maritime,2015,STPA Applied to Port Security,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Williams-Port-Security.pdf,16,,
333,"Operating unit has missing and/or inoperable equipment, services, or supplies; or lacks qualification.",hazard,hazard,,hazard5,maritime,2015,U.S. Coast Guard Financial Management: A Systems Approach to Business Process Reengineering,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Peterein-Business-Process-Reengineering.pdf,12,,
340,Staff is unnecessarily exposed to radiation.,hazard,hazard,,hazard5,medicine,2015,STPA Analysis of Changes in the Process for Stereotactic Radiosurgery and Radiography,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Samost-Radiosurgery.pdf,10,,
341,Equipment subject to unnecessary stress.,hazard,hazard,,hazard1,medicine,2015,STPA Analysis of Changes in the Process for Stereotactic Radiosurgery and Radiography,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Samost-Radiosurgery.pdf,10,,
342,Persons subjected to the possibility of nonradiation injury.,hazard,hazard,,hazard5,medicine,2015,STPA Analysis of Changes in the Process for Stereotactic Radiosurgery and Radiography,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Samost-Radiosurgery.pdf,10,,
347,Persons subject to non-radiological injuries.,hazard,hazard,,hazard5,medicine,2015,Safety Systems Analysis of Brachytherapy Using STPA: A Case Study in Radiation Oncology,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Tang-Brachy-PDF.pdf,19,,
348,Patient receives inappropriate treatment.,hazard,hazard,,hazard5,medicine,2015,Safety Systems Analysis of Brachytherapy Using STPA: A Case Study in Radiation Oncology,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Tang-Brachy-PDF.pdf,19,,
349,Patient does not receive treatment.,hazard,hazard,,hazard5,medicine,2015,Safety Systems Analysis of Brachytherapy Using STPA: A Case Study in Radiation Oncology,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Tang-Brachy-PDF.pdf,19,,
350,Non-patient receives radiation.,hazard,hazard,,hazard5,medicine,2015,Safety Systems Analysis of Brachytherapy Using STPA: A Case Study in Radiation Oncology,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Tang-Brachy-PDF.pdf,19,,
371,Vehicle Roll Away from Not Engaging Park.,hazard,hazard,,hazard1,automotive,2016,1- Human Interaction and Potential Error Evaluation Associated with Shift By Wire Devices,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/04/1-VernacchiaArnold-W2016.pdf,10,,
377,Lack of aircraft control.,hazard,hazard,reescrever,hazard6,aviation,2016,3-Hazard Analysis for Rotorcraft (UH-60MU),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/3-BlakeAbrecht-W2016.pdf,6,,
387,Train start with people between train door and PSD.,hazard,hazard,,hazard1,train,2016,12-Exploring the Systematic Causes of Beijing Subway PSD Accident,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/04/12-SjZhang-W2016.pdf,12,,
396,Aircraft violate minimum separation with other aircraft.,hazard,hazard,,hazard1,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22,steca,
397,Aircraft loses its control or loses airframe integrity.,hazard,hazard,ambiguo,exhazard,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22,steca,
398,Aircraft performs controlled maneuver into ground or into obstacles on ground.,hazard,hazard,,hazard1,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22,steca,
399,Aircraft on the ground comes too close to other objects or leaves the paved area.,hazard,hazard,,hazard1,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22,steca,
400,Aircraft enters a runway with no clearance.,hazard,hazard,,hazard1,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22,steca,
408,Vehicle does not maintain safe distance from nearby vehicles.,hazard,hazard,,hazard1,automotive,2016,19-Systems-Theoretic Process Analysis of Automobile Features for Lane Management,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/03/19-CastilhoFrance-W2016.pdf,22,,
409,Vehicle does not maintain safe distance from terrain and other obstacles.,hazard,hazard,,hazard1,automotive,2016,19-Systems-Theoretic Process Analysis of Automobile Features for Lane Management,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/03/19-CastilhoFrance-W2016.pdf,22,,
413,"Vehicle (driven by human, automation or in cooperation) violates minimum safety distance to objects, road users, vehicles, etc.",hazard,hazard,,hazard1,automotive,2016,20-Can STPA contribute to identify hazards of different nature and improve safety of automated vehicles?,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/04/20-Alvarez-W2016.pdf,12,,
414,"Vehicle (driven by human, automation or in cooperation) leaves the roadway.",hazard,hazard,,hazard1,automotive,2016,20-Can STPA contribute to identify hazards of different nature and improve safety of automated vehicles?,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/04/20-Alvarez-W2016.pdf,12,,
423,Rider or operator exposed to dangerous physiological conditions.,hazard,hazard,,hazard5,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
424,Rider unsecure during ride operations.,hazard,hazard,,hazard5,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
425,Smart Coaster operated outside of established parameters.,hazard,hazard,,hazard1,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
426,Intellectual Property exposed to unauthorized individuals.,hazard,hazard,,hazard5,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
427,Company takes actions inconsistent with stated values.,hazard,hazard,,hazard5,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
428,Consumer (rider) PII exposed to unauthorized individuals.,hazard,hazard,,hazard5,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12,stpa-sec,
