,req,label,v6,Unnamed: 3,v5.2,dominio,ano,titulo,link,slide,obs,obs v6
42,The flight crew must not abort the ITP unnecessarily. (Rationale: An abort may violate separation minimums),constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
43,"When performing an abort, the flight crew must follow regional contingency procedures.",constraint,mitigate,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
44,The flight crew must not execute the ITP before approval by ATC.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
45,The flight crew must execute the ITP immediately when approved unless it would be dangerous to do so.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
46,The crew shall be given positive notification of arrival at the requested FL.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
47,Approval of an ITP request must be given only when the ITP criteria are met.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
48,Approval must be given to the requesting aircraft only.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
49,Approval must not be given too early or too late (needs to be clarified as to the actual time limits).,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
50,An abnormal termination instruction must be given when continuing the ITP would be unsafe.,constraint,mitigate,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
51,An abnormal termination instruction must not be given when it is not required to maintain safety and would result in a loss of separation.,constraint,mitigate,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
52,An abnormal termination instruction must be given immediately if an abort is required.,constraint,mitigate,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84,,
60,Pilot must execute maneuver once it is approved.,constraint,prevent,,constraint1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,,
61,Pilot must not perform ITP when criteria are not met or request has been refused.,constraint,prevent,,constraint1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,,
62,Pilot must start maneuver within X minutes of re-verifying ITP criteria.,constraint,prevent,,constraint1,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,30,,
79,The failures in the Train Control System must be identified and provided as feedback to the dispatcher of CTC in time.,constraint,detect,,constraint1,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp,
80,The dispatcher in the CTC and the watch keeper should identify the potential danger in the railway line and command the train to slow down or stop in emergency situations.,constraint,detect,,constraint1,train,2012,Analysis of Railway Accidents in China,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-13-Suo-Analysis-of-Railway-Accidents-in-China.pdf,13,stamp,
84,ACC should not let the vehicle gets in contact with the object ahead.,constraint,prevent,,constraint1,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7,,
85,ACC should not brake too abruptly.,constraint,prevent,,constraint1,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7,,
91,ACC must not violate separation requirements with object ahead.,constraint,prevent,,constraint1,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,,
92,ACC must not brake too abruptly.,constraint,prevent,,constraint1,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24,,
95,Toxic chemicals must not be released.,constraint,prevent,,constraint1,nuclear,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30,,
103,Pilot must execute maneuver once it is approved.,constraint,prevent,,constraint1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,,
104,Pilot must not perform ITP when criteria are not met or request has been refused.,constraint,prevent,,constraint1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,,
105,Pilot must start maneuver within X minutes of re-verifying ITP criteria.,constraint,prevent,,constraint1,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,48,,
112,"The SIAS must operate when the 4 events—LOCA, 2ndHSL, S/WP-Ex, or REA—occur.",constraint,mitigate,,constraint1,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,,
113,"The CSAS must operate when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",constraint,mitigate,,constraint1,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,,
114,The CREVAS must operate when the two events—High-level radioactive at air intakes of MCR or the SIAS—occur.,constraint,mitigate,,constraint1,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14,,
140,Vehicle must illuminate the brake light to warn vehicle in the back.,constraint,prevent,,constraint1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,11,,
141,Brake light command must illuminate early within X-seconds before stopping vehicle.,constraint,prevent,,constraint1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,11,,
142,Vehicle must brake when vehicle detected slowed or stopped object (at a few X-meters within the preset value of the safety distance) in its path.,constraint,prevent,,constraint1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,11,,
143,The intervention between ACC system and driver should be limited to the traffic environment and conditions.,constraint,prevent,,constraint1,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,11,,
145,Train must run within limited speed.,constraint,prevent,,constraint1,train,2013,Using STAMP method to analyze serious accidents in China Railway system,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_Hong_Serious_accidents_analysis_China_railway_STAMP.pdf,6,,
146,Driver must know the correct limited speed through different kinds of ways (e.g. IC cards and the scheduler).,constraint,detect,,constraint1,train,2013,Using STAMP method to analyze serious accidents in China Railway system,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_Hong_Serious_accidents_analysis_China_railway_STAMP.pdf,6,,
158,NSS should develop NS following the top-level requirements from NSI.,constraint,prevent,,constraint1,aviation,2013,A Safety analysis of Navigation Software Development Management Based on STAMP,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_XuXiaojie-STAMP_Analysis_Navigation_Software_Development_Management.pdf,11,,
159,NSI should ensure NS accept from NSS is conform to the its requirements.,constraint,prevent,,constraint1,aviation,2013,A Safety analysis of Navigation Software Development Management Based on STAMP,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_XuXiaojie-STAMP_Analysis_Navigation_Software_Development_Management.pdf,11,,
162,The Control system shall determine the axle torque request periodically.,constraint,detect,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
163,The Control System shall not miscalculate the Axle Torque request.,constraint,detect,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
164,Output Control shall be synchronized with Input request.,constraint,prevent,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
165,System shall be made aware of the Axle Torque Command determination status.,constraint,detect,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
166,"System shall be able to control the actuator (Throttle, Spark, Fuel, etc.), when required.",constraint,prevent,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
167,"Control system shall control the actuator (Throttle, Spark, Fuel, etc.) correctly in response to axle torque request.",constraint,prevent,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
168,"Actuator (Throttle, Spark, Fuel, etc.) Control shall be synchronized with axle torque request.",constraint,prevent,,constraint1,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
169,"If the control propulsion output stops, System propulsion output shall be gradually ramped to zero with operator notification. Graceful transition to a safe state.",constraint,mitigate,,constraint2,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22,,
180,"Radiation and toxic, radioactive, or energetic materials must not be released within range of humans or other systems.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
181,"Radioactive, toxic, or energetic materials must be stored away from humans.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
182,"Satellite, satellite components, and satellite debris must not impact other systems or debris during launch, on orbit, or during disposal.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
183,"Satellite must not radiate energy until on orbit, separated from, and clear of launch vehicle and debris.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
184,Radiated energy frequencies should be selected so as to be different from those used by other systems if possible.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
185,"Radiated energy must not be directed at and/or reach other systems using the same frequency if possible. Otherwise, radiation must be at sufficiently low power so as to prevent disruption or damage of other systems.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
186,Satellite must not operate in an environment that poses the risk of excessive radiation or impact from energetic materials.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
187,Satellite must be able to operate for the design life.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
188,Satellite must be able to operate onboard instrumentation.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
189,"Satellite must be launched into correct orbit, or means to correct for different orbits must exist.",constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
190,Data obtained by instrumentation must be stored and/or transmitted to supporting infrastructure.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
191,Satellite must maintain means of transmitting science data to supporting systems.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
192,Satellite must maintain means of communication with supporting systems.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
193,Satellite must maintain means of control.,constraint,prevent,,constraint1,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,11,,
196,The operator should always be able to control the attitude and flight path during the whole flight.,constraint,prevent,,constraint1,aviation,2013,A systematic safety control approach and practice on flight tests of a low-cost blended-wing-body demonstrator,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_LuYi_Presentation_2rd_STAMP_Workshop.pdf,16,,
197,The vehicle should keep adequate distance and height against the people and properties on the ground.,constraint,prevent,,constraint1,aviation,2013,A systematic safety control approach and practice on flight tests of a low-cost blended-wing-body demonstrator,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_LuYi_Presentation_2rd_STAMP_Workshop.pdf,16,,
215,The software must receive the NAV_ON to initialize the flight time.,constraint,prevent,,constraint1,aviation,2014,"SFTA, SFMECA, and STPA Applied to Brazilian Space Software",https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/STPA_Workshop2014-LAHOZ.pdf,14,,
216,The ignition of the second rocket stage (2E) must be detected.,constraint,detect,,constraint,aviation,2014,"SFTA, SFMECA, and STPA Applied to Brazilian Space Software",https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/STPA_Workshop2014-LAHOZ.pdf,14,constrainjt,
217,The separation of the first rocket stage (1E) must be detected.,constraint,detect,,constraint,aviation,2014,"SFTA, SFMECA, and STPA Applied to Brazilian Space Software",https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/STPA_Workshop2014-LAHOZ.pdf,14,constrainjt,
229,Software must complete calculations within 2 minutes.,constraint,prevent,,constraint1,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,24,,
233,Temperature must never violate maximum value.,constraint,prevent,,constraint1,industry,2014,Risk Management in the Process Industry,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/Rodriguea_STPA_DH_final.pdf,31,é constraint mas está vago (ruim),
234,Pressure must never violate maximum value.,constraint,prevent,,constraint1,industry,2014,Risk Management in the Process Industry,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/Rodriguea_STPA_DH_final.pdf,31,é constraint mas está vago (ruim),
235,Level must never violate maximum value.,constraint,prevent,,constraint1,industry,2014,Risk Management in the Process Industry,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/Rodriguea_STPA_DH_final.pdf,31,é constraint mas está vago (ruim),
238,Toxic plant chemicals must not be released into the atmosphere.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
239,Radioactive materials must note be released.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
241,Vehicles must always maintain safe distances from each other.,constraint,prevent,,constraint1,automotive,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
243,Food products with pathogens must not be sold.,constraint,prevent,,constraint1,food,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10,,
252,Computer must open water valve whenever catalyst valve is open.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,52,,
253,Computer must open water valve within X seconds of catalyst valve open.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,52,,
254,Computer must not close water valve while catalyst valve open.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,52,,
255,Computer must not close water valve before catalyst valve closes.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,52,,
256,Computer must not open catalyst valve when water valve not open.,constraint,prevent,,constraint1,nuclear,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,52,,
257,Pilots must not execute maneuver when ITP criteria are not satisfied.,constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
258,"Pilots must not execute maneuver with incorrect climb rate, final altitude, etc.",constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
259,Pilots must not begin to execute maneuver before approval.,constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
260,Pilots must execute maneuver within X minutes of reassessment.,constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
261,Pilots must not stop maneuver before reaching designated altitude (except in emergency temination).,constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
262,Pilots must not climb/descent beyond designated altitude.,constraint,prevent,,constraint1,aviation,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,78,,
270,Vehicle must maintain safe distance from nearby vehicles.,constraint,prevent,,constraint1,automotive,2015,Iterative Application of STPA for an Automotive System,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sundaram-Iterative-Application-for-GM.pdf,8,,
271,Vehicle must maintain safe distance from terrain and other obstacles.,constraint,prevent,,constraint1,automotive,2015,Iterative Application of STPA for an Automotive System,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sundaram-Iterative-Application-for-GM.pdf,8,,
272,Vehicle must not expose occupants to harmful effects and/or health hazards.,constraint,prevent,,constraint1,automotive,2015,Iterative Application of STPA for an Automotive System,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Sundaram-Iterative-Application-for-GM.pdf,8,,
273,UAS operations shall not lead to a loss of minimum separation requirements.,constraint,prevent,,constraint1,aviation,2015,UAS-NAS Integration: A Cognitive Sys Eng Framework for Safety Model Development,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Johnson_STAMP-2015-Presentation_Final.pdf,14,,
274,UAS operations shall not induce or contribute to a controlled flight into terrain maneuver.,constraint,prevent,,constraint1,aviation,2015,UAS-NAS Integration: A Cognitive Sys Eng Framework for Safety Model Development,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Johnson_STAMP-2015-Presentation_Final.pdf,14,,
275,UAS operations shall not induce or contribute to loss of aircraft controlled flight.,constraint,prevent,,constraint1,aviation,2015,UAS-NAS Integration: A Cognitive Sys Eng Framework for Safety Model Development,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/04/Johnson_STAMP-2015-Presentation_Final.pdf,14,,
290,The app must inform the display of the pump command status.,constraint,prevent,,constraint1,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25,,
291,The app must command the pump to stop if the patient's vital signs indicate over-infusion.,constraint,prevent,,constraint1,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25,,
292,The app must inform the display of the status of the patient's vital signs.,constraint,prevent,,constraint1,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25,,
302,The takeoff must be aborted at the first sign of loss of directional control.,constraint,prevent,,constraint1,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,35,,
304,Directional deviations must be corrected smoothly and continuously.,constraint,prevent,,constraint1,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,35,,
305,Yawing at brakes release must be counteracted quickly.,constraint,prevent,,constraint1,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,35,,
306,Side stick command should be applied to the side of the wind after releasing the brakes.,constraint,prevent,,constraint1,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,35,,
